# Sheet: 2024_ntl-str_met
Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Sol Rad
 01/01/24, 00:00:00,6.2,5,14,821.2,63,0,0
 01/01/24, 00:15:00,6.5,5,4,821,69,0,0
 01/01/24, 00:30:00,6.6,5.8,9,821,68,0,0
 01/01/24, 00:45:00,6.7,5.3,358,820.9,69,0,0
 01/01/24, 01:00:00,6.6,4.9,6,820.8,70,0,0
 01/01/24, 01:15:00,6.4,5,359,820.8,70,0,0
 01/01/24, 01:30:00,6.4,4.9,4,820.8,69,0,0
 01/01/24, 01:45:00,6.2,5,2,820.6,70,0,0
 01/01/24, 02:00:00,6,5.2,6,820.5,71,0,0
 01/01/24, 02:15:00,6.2,5,9,820.4,71,0,0
 01/01/24, 02:30:00,6.3,5,6,820.3,69,0,0
 01/01/24, 02:45:00,6.3,5,2,820.2,65,0,0
 01/01/24, 03:00:00,6.3,5.4,358,820.3,61,0,0
 01/01/24, 03:15:00,6.5,4.6,355,820.3,59,0,0
 01/01/24, 03:30:00,6.6,4.6,4,820.3,59,0,0
 01/01/24, 03:45:00,6.6,4.6,6,820.3,58,0,0
 01/01/24, 04:00:00,6.8,4.2,24,820.3,57,0,0
 01/01/24, 04:15:00,7.1,2.9,4,820.4,55,0,0
 01/01/24, 04:30:00,7.2,4.9,27,820.4,55,0,0
 01/01/24, 04:45:00,7.1,4.7,24,820.4,55,0,0
 01/01/24, 05:00:00,6.7,4.7,6,820.3,57,0,0
 01/01/24, 05:15:00,6.6,5,9,820.4,57,0,0
 01/01/24, 05:30:00,6.6,5,7,820.4,56,0,0
 01/01/24, 05:45:00,6.7,4.9,6,820.6,56,0,0
 01/01/24, 06:00:00,6.6,5.1,9,820.7,57,0,0
 01/01/24, 06:15:00,6.5,5.3,5,820.8,58,0,0
 01/01/24, 06:30:00,6.3,5,7,821,59,0,0
 01/01/24, 06:45:00,6.4,5.3,5,821,60,0,0
 01/01/24, 07:00:00,6.3,4.7,7,821.2,61,0,0
 01/01/24, 07:15:00,6.3,5,11,821.3,61,0,0
 01/01/24, 07:30:00,6.6,4.2,4,821.4,63,0,32
 01/01/24, 07:45:00,7.9,1.9,22,821.5,60,0,62
 01/01/24, 08:00:00,8.8,1.3,109,821.6,59,0,94
 01/01/24, 08:15:00,9.3,1.4,90,821.8,57,0,126
 01/01/24, 08:30:00,9.5,2.3,66,821.9,57,0,159
 01/01/24, 08:45:00,9.8,2.2,46,822,56,0,191
 01/01/24, 09:00:00,10.2,1.4,16,822.3,57,0,221
 01/01/24, 09:15:00,10.8,1.6,31,822.5,55,0,252
 01/01/24, 09:30:00,10.7,2.1,133,822.6,57,0,279
 01/01/24, 09:45:00,11.4,2.3,110,822.6,54,0,304
 01/01/24, 10:00:00,11.1,2.3,76,822.6,56,0,327
 01/01/24, 10:15:00,11.2,1.6,49,822.6,52,0,348
 01/01/24, 10:30:00,11.5,1.6,322,822.7,53,0,366
 01/01/24, 10:45:00,11.6,2.5,37,822.7,54,0,383
 01/01/24, 11:00:00,12.3,1.8,94,822.5,51,0,396
 01/01/24, 11:15:00,12.2,1.7,17,822.3,53,0,406
 01/01/24, 11:30:00,12.4,1.9,108,822.1,52,0,415
 01/01/24, 11:45:00,12,2,11,822,52,0,420
 01/01/24, 12:00:00,12.6,2.6,41,821.7,51,0,425
 01/01/24, 12:15:00,12.4,2.3,105,821.6,52,0,423
 01/01/24, 12:30:00,12.1,2.7,96,821.4,54,0,422
 01/01/24, 12:45:00,11.8,2.1,121,821.2,52,0,417
 01/01/24, 13:00:00,11.7,1.8,52,821,53,0,411
 01/01/24, 13:15:00,12.2,2.8,62,820.8,54,0,400
 01/01/24, 13:30:00,11.6,2.2,359,820.6,55,0,390
 01/01/24, 13:45:00,12.4,1.6,88,820.5,53,0,144
 01/01/24, 14:00:00,11.6,2.5,358,820.3,55,0,354
 01/01/24, 14:15:00,10.1,2.1,83,820.3,59,0,336
 01/01/24, 14:30:00,10.8,2.4,55,820.2,56,0,312
 01/01/24, 14:45:00,9.7,1.7,341,820.1,57,0,291
 01/01/24, 15:00:00,9.6,2,359,820,59,0,267
 01/01/24, 15:15:00,10,2.5,138,820,57,0,238
 01/01/24, 15:30:00,9.6,1.2,105,819.9,58,0,210
 01/01/24, 15:45:00,9,1,63,819.8,57,0,182
 01/01/24, 16:00:00,8.8,2.8,17,819.8,59,0,151
 01/01/24, 16:15:00,8.4,1.4,31,819.7,56,0,120
 01/01/24, 16:30:00,8.5,1.4,182,819.7,54,0,7
 01/01/24, 16:45:00,8,1.6,63,819.7,56,0,4
 01/01/24, 17:00:00,7.6,2.3,91,819.7,57,0,3
 01/01/24, 17:15:00,7.2,3.9,6,819.7,61,0,0
 01/01/24, 17:30:00,7.1,4.5,6,819.7,63,0,0
 01/01/24, 17:45:00,6.9,4.1,4,819.8,64,0,0
 01/01/24, 18:00:00,7.1,3.7,2,819.9,65,0,0
 01/01/24, 18:15:00,7.1,3.3,348,820,64,0,0
 01/01/24, 18:30:00,7,4.4,6,820,63,0,0
 01/01/24, 18:45:00,7,5,11,820.1,61,0,0
 01/01/24, 19:00:00,7.1,5.3,11,820.1,62,0,0
 01/01/24, 19:15:00,7.1,5.3,11,820.2,65,0,0
 01/01/24, 19:30:00,7.1,4.8,10,820.4,66,0,0
 01/01/24, 19:45:00,7.2,5.4,11,820.5,64,0,0
 01/01/24, 20:00:00,7.2,5.3,11,820.6,65,0,0
 01/01/24, 20:15:00,7.2,5.1,9,820.6,69,0,0
 01/01/24, 20:30:00,7.2,5.5,10,820.7,72,0,0
 01/01/24, 20:45:00,7.3,5.2,7,820.7,73,0,0
 01/01/24, 21:00:00,7.1,4.9,9,820.9,73,0,0
 01/01/24, 21:15:00,6.6,5,13,821,72,0,0
 01/01/24, 21:30:00,6.4,5.8,10,821,74,0,0
 01/01/24, 21:45:00,7,5.2,9,821,70,0,0
 01/01/24, 22:00:00,7.4,3.9,2,821.1,71,0,0
 01/01/24, 22:15:00,7.5,3.5,4,821.2,68,0,0
 01/01/24, 22:30:00,7,4.1,7,821.2,67,0,0
 01/01/24, 22:45:00,7.1,4.2,7,821.2,69,0,0
 01/01/24, 23:00:00,7.2,4.1,4,821.1,68,0,0
 01/01/24, 23:15:00,7.5,2.5,346,821,54,0,0
 01/01/24, 23:30:00,7.4,2.3,347,821,55,0,0
 01/01/24, 23:45:00,7.2,3.1,4,820.9,55,0,0
 02/01/24, 00:00:00,7.5,3.8,9,820.8,52,0,0
 02/01/24, 00:15:00,7.5,4.1,6,820.7,54,0,0
 02/01/24, 00:30:00,7.1,4.3,9,820.5,55,0,0
 02/01/24, 00:45:00,7.2,3.9,7,820.4,55,0,0
 02/01/24, 01:00:00,7.3,3,4,820.3,53,0,0
 02/01/24, 01:15:00,7.4,4.2,12,820.1,52,0,0
 02/01/24, 01:30:00,7.5,3.7,9,820.1,54,0,0
 02/01/24, 01:45:00,7.3,4,16,820,59,0,0
 02/01/24, 02:00:00,7.1,3.6,6,820,61,0,0
 02/01/24, 02:15:00,7.1,4.6,16,819.9,61,0,0
 02/01/24, 02:30:00,7,4.3,6,819.9,61,0,0
 02/01/24, 02:45:00,6.9,3.4,25,819.8,60,0,0
 02/01/24, 03:00:00,6.8,4.3,7,819.8,60,0,0
 02/01/24, 03:15:00,6.6,5,11,819.8,62,0,0
 02/01/24, 03:30:00,6.4,4.8,6,819.7,63,0,0
 02/01/24, 03:45:00,6.5,5,9,819.7,63,0,0
 02/01/24, 04:00:00,6.5,5.7,11,819.6,63,0,0
 02/01/24, 04:15:00,6.6,5.1,9,819.5,62,0,0
 02/01/24, 04:30:00,6.7,4.8,10,819.4,57,0,0
 02/01/24, 04:45:00,6.5,4.8,10,819.4,59,0,0
 02/01/24, 05:00:00,6.1,5.2,9,819.4,62,0,0
 02/01/24, 05:15:00,6.4,5,7,819.5,56,0,0
 02/01/24, 05:30:00,6.5,4.9,6,819.5,56,0,0
 02/01/24, 05:45:00,6.5,4.6,7,819.7,56,0,0
